id;topicID;contentid;videolink;videoupload;showvideo;name;description;first;second
e4c8ed81;;a95a5893;https://www.youtube.com/watch?v=WxHGrTbtly0;;;V.57_Georges Bizet | “Trio des Cartes” (1875);;;
f8549ce1;;700feff9;https://www.youtube.com/shorts/9Vj8bQEkGyQ;;;V.52_Caravaggio | The Fortune Teller (c. 1595);;;
9e4e51d9;;3f7312e1;https://youtu.be/TFeBNihAwQs;;;V.60_Georges de la Tour | The Fortune Teller (c. 1630);;;
fe78a45c;;3f7312e1;https://www.youtube.com/watch?v=TFeBNihAwQs;;;V.25_Georges de la Tour | The Fortune Teller (c. 1630);;;
da2d84df;;7b3403d8;https://www.youtube.com/watch?v=Yb6jULNu5ik;;;V.44_O Fortuna;;;
be1fdafc;;d36f162f;https://www.youtube.com/watch?v=iElljPJdCiY;;;V.16_Benny Spellman | “Fortune Teller” (1962);;;
c4b3e285;;b99395fe;https://www.youtube.com/shorts/UtTqJ9at3Xo;;;How to dig underwater;;Yes;
acc3baf3;;91fa91d8;https://www.youtube.com/shorts/qBLt189pm9w;;;V.19_;;Yes;
e148d6e6;;91fa91d8;https://www.youtube.com/watch?v=wSK-cf-f34E;;;Timeline of digging;;;Yes
21982c72;;8203d04d;https://www.youtube.com/watch?v=wOzbxyjUQ_o;;;Story of big Dig;;Yes;
fa59be0b;;b99395fe;https://www.youtube.com/watch?v=_jtQ_U9p3wY;;;Channel Tunnel after 20 years;;;Yes
5b0c475e;;e8dc8010;https://www.youtube.com/shorts/oYSfe0akVOA;;;V.9_California High-Speed Rail Why it fail;;Yes;
876ad51e;;e8dc8010;https://www.youtube.com/shorts/fxHX1ROPH_Y;;;Failure;;;Yes
5fbfb08e;;d0dddd12;https://youtu.be/5zsYwmOqt8U;;;V.81_Sejong City Around;;;
9677754e;;455c807c;https://www.youtube.com/shorts/1OBV45IkXE4;;;V.73_Hambantota - China role;;;Yes
bed16a9b;;4108464d;https://www.youtube.com/shorts/iJeIVyxp_No;;;V.92_NEOM- Overview;;Yes;
e5f62646;;4108464d;https://www.youtube.com/shorts/EfLNVkUxQvs;;;V.29_NEOM- Failure;;;
ee2a0eee;;81316699;https://www.youtube.com/watch?v=N_pvlmK00mI;;;V.67_New Eurasia Land Bridge;;Yes;
0a22554b;;84d1f5b6;https://www.youtube.com/watch?v=NMt_dYTVopM;;;V.41_Hong Kong-Zhuhai Bridge;;Yes;
b22cf219;;ef4f1da2;https://www.youtube.com/shorts/j6vnVH_CnKs;;;V.43_Loneliness spreading fast;;Yes;
2f167e43;;ceb723f8;https://www.youtube.com/shorts/RDVEoiPUDnw;;;V.57_How loneliness varies across the globe?;;Yes;
